Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	He produced (at/m3)	He in grain (at/m3)	He in intragranular solution (at/m3)	He in intragranular bubbles (at/m3)	He at grain boundary (at/m3)	He released (at/m3)	He fractional release (/)	He release rate (at/m3 s)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1600	0	0	5.00377e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.193995e+24	1.135111e+24	5.888395e+22	0	4.890051e+23	0.2905556	0	2.08e+20	8.078174e-10	4.592948e-07	0	2.328887e+26	2.276476e+28	
0.00037	1600	0	0	5.003773e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.193992e+24	1.135109e+24	5.888383e+22	0	4.890076e+23	0.2905571	1.829991e+18	2.08e+20	8.078174e-10	4.592948e-07	0	2.328887e+26	2.276476e+28	
0.00074	1600	0	0	5.003777e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.19399e+24	1.135106e+24	5.888371e+22	0	4.8901e+23	0.2905585	1.829982e+18	2.08e+20	8.078168e-10	4.592939e-07	0	2.328887e+26	2.276476e+28	
0.00111	1600	0	0	5.00378e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.193988e+24	1.135104e+24	5.888359e+22	0	4.890125e+23	0.29056	1.829973e+18	2.08e+20	8.078163e-10	4.592929e-07	0	2.328887e+26	2.276476e+28	
0.00148	1600	0	0	5.003784e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.193985e+24	1.135102e+24	5.888347e+22	0	4.890149e+23	0.2905614	1.829965e+18	2.08e+20	8.078157e-10	4.59292e-07	0	2.328887e+26	2.276476e+28	
0.00185	1600	0	0	5.003787e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.193983e+24	1.135099e+24	5.888335e+22	0	4.890173e+23	0.2905629	1.829956e+18	2.08e+20	8.078152e-10	4.592911e-07	0	2.328887e+26	2.276476e+28	
0.00222	1600	0	0	5.00379e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.19398e+24	1.135097e+24	5.888323e+22	0	4.890198e+23	0.2905643	1.829947e+18	2.08e+20	8.078146e-10	4.592901e-07	0	2.328887e+26	2.276476e+28	
0.00259	1600	0	0	5.003794e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.193978e+24	1.135095e+24	5.888311e+22	0	4.890222e+23	0.2905658	1.829938e+18	2.08e+20	8.078141e-10	4.592892e-07	0	2.328887e+26	2.276476e+28	
0.00296	1600	0	0	5.003797e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.193975e+24	1.135092e+24	5.888299e+22	0	4.890246e+23	0.2905672	1.82993e+18	2.08e+20	8.078136e-10	4.592883e-07	0	2.328887e+26	2.276476e+28	
0.00333	1600	0	0	5.003801e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	1.193973e+24	1.13509e+24	5.888287e+22	0	4.890271e+23	0.2905687	1.829921e+18	2.08e+20	8.07813e-10	4.592873e-07	0	2.328887e+26	2.276476e+28	
